CASEID,provincp,rpincear,rpagegrp,rpsex,rphighestedp,spincear,spagegrp,spsexp,sphighestedp,ch04toip,ch517toip,y1824toip,m301,m302tot,m308,totexpen
 2493,13,  50000, 1,2,5,      0,99,9,9,0,0,1,    0,    0,    0,  51372
 4457,13,  34000, 2,1,7,  17000, 2,2,5,0,0,0,18300,  300,18000,  67627
 2993,13,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  31134
 2633,13,      0, 9,1,8,      0, 8,2,2,0,0,0,    0,    0,    0,  50349
 3070,13,  12000, 4,2,2,  50000, 4,1,8,0,2,0,    0,    0,    0,  50682
 2962,13,  38000, 4,1,7,   4900, 3,2,5,1,1,0,    0,    0,    0,  56321
 7701, 0,      0, 9,1,7,      0, 9,2,5,0,0,0,    0,    0,    0,  51528
 2634,13,      0, 9,1,8,      0, 9,2,8,0,0,0,    0,    0,    0, 119710
 3811,13,    600, 5,2,7, 120000, 6,1,7,0,3,0, 1840,  240,    0, 152081
 5314, 0, 200000, 9,1,8, 150000, 9,2,2,0,0,0,    0,    0,    0, 274544
 2714,13,  72000, 8,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  74206
 3609,13,   7700, 1,2,2,   7200, 1,1,2,0,0,2, 2850,  250, 2600,  20477
 2404,13,      0,11,2,5,      0,11,1,3,0,0,0,    0,    0,    0,  28762
 5054,13,  12000, 1,1,2,      0,99,9,9,0,0,2,20615, 2200,18300,  93176
 3153,13,    800, 4,2,8,  71000, 4,1,8,1,2,0, 1690,  530,  660,  69401
 2453,13,      0, 7,2,8,      0, 6,1,5,0,0,1, 9000, 1000, 8000, 206405
 5315, 0,      0, 9,2,6,      0, 9,1,6,0,0,0, 5600,  600, 5000, 344771
 4458,13,  27000, 2,1,5,      0,99,9,9,0,0,0,    0,    0,    0,  50610
 2756,13,      0,10,1,7,      0, 9,2,7,0,0,1, 6940,  840, 6100, 124757
 2258,13,  41000, 6,2,7,  48000, 7,1,7,0,2,0,  650,  100,    0,  66092
 6343, 0,  59000, 6,2,8,  68000, 7,2,7,0,2,0,10850,  550, 8000, 136015
 4167,13,  58000, 3,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  80673
 2994,13,      0,10,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  35713
 2016,13,  54000, 7,2,2,  73000, 9,1,8,0,0,0,    0,    0,    0,  67922
 1483,13,  45000, 5,2,5,      0,99,9,9,0,2,0,  755,   80,    0,  55963
 2405,13,      0,13,2,7,      0,13,1,8,0,0,0,    0,    0,    0,  77106
 2836,13,  20000, 6,2,2,      0,99,9,9,0,0,2,    0,    0,    0,  28301
 2883,13,  20000, 6,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  52234
 2406,13,      0,10,1,3,      0,10,2,6,0,0,0,    0,    0,    0,  60326
 2884,13,   2000,13,1,1,      0,11,2,1,0,0,0,    0,    0,    0,  42143
 2128,13,  20000, 9,1,3,  43000, 9,2,2,0,0,0,    0,    0,    0,  54657
 3412,13,  55000, 5,1,5,  17000, 5,2,2,0,2,0,   40,    0,    0,  80078
 2530,13,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  32629
 2332,13,  42000, 4,1,7,  22000, 3,2,5,1,0,0,    0,    0,    0,  78497
 3628,13,  15000, 5,2,2,  47000, 5,1,5,0,3,0,  992,  992,    0,  94061
