CASEID,provincp,rpincear,rpagegrp,rpsex,rphighestedp,spincear,spagegrp,spsexp,sphighestedp,ch04toip,ch517toip,y1824toip,m301,m302tot,m308,totexpen
 3757,10,  67000, 3,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  75801
 2650,10,  48000, 2,1,7,      0,99,9,9,0,0,1, 2100,  600, 1500,  61511
  832,10,  30000, 4,1,7,  35000, 4,2,7,0,1,0,  100,  100,    0,  43010
 2565,10,  69000, 4,1,8,      0, 3,2,7,1,1,0,  100,  100,    0, 120101
 4343,10,  22000, 3,2,8,      0,99,9,9,0,0,0, 1500,    0, 1500,  38586
 2500,10, 110000, 3,2,7,  90000, 2,1,7,0,0,0,    0,    0,    0, 126603
 1760,10,      0, 8,1,2,      0, 7,2,2,0,0,0,    0,    0,    0, 103622
 3922,10,  35000, 2,2,7,  45000, 2,1,7,0,0,0,    0,    0,    0,  71187
 1517,10,  25000, 2,1,5,  35000, 2,2,5,1,0,0,    0,    0,    0,  96812
 2003,10,  23000, 8,2,2,      0,99,9,9,0,0,2,    0,    0,    0,  46051
 2031,10,  23000, 9,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  43855
 1827,10,      0,12,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  18736
 4453,10,   8000, 5,2,6,  40000, 4,1,3,0,2,1, 2090,  740, 1350,  92188
 3815,10,  95000, 3,1,7,      0,99,9,9,0,0,0,    0,    0,    0, 100299
 1980,10,      0, 7,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  12707
 2681,10,  72000, 8,1,5,  12000, 8,2,7,0,0,0,    0,    0,    0,  85446
 1828,10,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  45848
 3923,10,      0, 2,1,7,  42000, 2,2,7,0,0,0,    0,    0,    0,  54162
 1817,10,      0,11,1,3,  32000,10,2,2,0,0,0,    0,    0,    0,  36693
 1919,10,      0,10,1,7,      0,10,2,6,0,0,0,    0,    0,    0,  82321
 2245,10,      0, 5,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  10153
 4344,10,  20000, 2,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  13320
 1376,10,  65000, 5,2,7,      0,99,9,9,0,2,0, 2649, 1175, 1200,  77883
 2373,10, 100000, 5,1,8,  35000, 5,2,7,0,2,0, 8500,  500,    0, 145781
 1950,10,  40000, 9,1,7,  20000, 9,2,5,0,0,0,    0,    0,    0, 103891
 1829,10,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  19982
 1472,10,      0, 9,1,8,      0, 9,2,5,0,0,0,    0,    0,    0,  72365
 1818,10,      0, 9,1,5,   5000,10,2,7,0,0,0,    0,    0,    0,  39763
  463,10, 170000, 8,1,8,  36000, 8,2,8,0,0,0,    0,    0,    0, 150038
 2263,10,  46000, 7,2,7,  46000, 7,1,2,0,0,0,    0,    0,    0,  65928
 1473,10,      0, 8,1,1,      0,99,9,9,0,1,0,    0,    0,    0,  12783
 2121,10,   4300, 7,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  35867
  500,10, 250000, 7,1,8,  60000, 8,2,5,0,1,0, 7200,  200, 6000, 291299
 3728,10,  34000, 2,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  26926
 5163,10,  50000, 7,1,1,      0,99,9,9,0,0,1,    0,    0,    0,  84792
 1830,10,      0,10,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  63283
 1675,10,      0, 9,1,5,      0,10,2,5,0,0,0,    0,    0,    0,  83420
 1819,10,  27000, 7,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  46330
 1324,10,      0, 5,2,5,      0,99,9,9,0,2,0,    0,    0,    0,  42490
 1406,10,      0, 9,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  14367
  995,10,  22000, 3,2,1,      0,99,9,9,0,1,0,    0,    0,    0,  33438
 1894,10,  40000, 1,2,5,      0,99,9,9,0,0,2,    0,    0,    0,  27712
 1430,10,   3000, 1,2,0,      0,99,9,9,0,0,2, 3880,  580, 3300,  23789
 2165,10,  10000, 4,1,8,   5000, 4,2,8,0,0,0, 3400,  100, 3300,  35020
 1370,10,   4000, 1,2,0,      0,99,9,9,0,0,1, 3900, 1100, 2400,  19659
 1442,10,  53000, 1,2,4,      0,99,9,9,0,0,1,    0,    0,    0,  48319
 1681,10,  60000, 7,2,3,      0,99,9,9,0,0,2, 1150, 1150,    0,  85928
   16,10,  20000, 5,2,7, 110000, 4,1,0,0,1,0,    0,    0,    0,  99228
 2172,10,  50000, 4,1,5,      0,99,9,9,0,0,0,    0,    0,    0,  38718
 1981,10,    400, 6,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  10289
 1407,10,      0, 9,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  15921
 1465,10,      0, 1,2,1,      0,99,9,9,1,0,1,    0,    0,    0,  13631
   38,10,  25000, 5,1,2,      0,99,9,9,1,0,0,    0,    0,    0,  40161
 2204,10,  45000, 7,2,3,      0,99,9,9,0,0,1,    0,    0,    0,  48232
 2095,10,  39000, 7,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  59347
 1284,10,  10000, 8,1,3,      0,99,9,9,0,0,0,    0,    0,    0,  23662
 4732,10, 110000, 7,1,2,  69000, 7,2,3,0,0,1, 3400,  900, 2200, 194821
 1353,10,  26000, 9,1,1,  53000, 9,2,2,0,0,0,    0,    0,    0,  60067
 1831,10,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  16148
 1317,10,      0, 1,2,1,      0,99,9,9,1,1,1,    0,    0,    0,  29690
 1676,10,  32000, 8,2,3,  14000, 8,1,3,0,0,0,    0,    0,    0,  65330
 1431,10,   2400, 1,2,2,      0,99,9,9,0,0,2,    0,    0,    0,  16133
 4345,10,  15000, 2,1,3,      0,99,9,9,0,0,0, 4800,  800, 4000,  25355
 2250,10,  85000, 5,2,3,  86000, 5,1,3,0,0,0,    0,    0,    0, 181359
 2246,10,  30000, 6,1,3,  55000, 6,2,3,0,2,0, 1650,  350,  500,  97759
 1354,10,  68000, 3,1,2,  45000, 4,2,8,0,0,0,    0,    0,    0,  80193
 1771,10,   6800, 1,1,2,      0,99,9,9,0,0,2, 4500,  500, 4000,  50675
 4563,10,  10000, 1,2,2,      0,99,9,9,0,0,2,20400, 3400,17000,  87956
 1982,10,  64000, 6,1,7,  79000, 6,2,7,0,0,0,    0,    0,    0, 123942
 3808,10,  22000, 2,1,7,  80000, 2,2,7,0,0,0,    0,    0,    0, 101096
 4391,10,  15000, 2,1,5,  25000, 2,2,5,0,0,0, 4500,  500, 4000,  40914
 2137,10,  17000, 6,2,5,  54000, 6,1,5,0,0,1, 6300, 1300, 5000,  73887
 2374,10,  42000, 6,1,5,  66000, 4,2,8,0,2,0,    0,    0,    0, 122390
 2205,10,  23000, 4,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  25856
 2592,10,  45000, 9,2,8,      0,99,9,9,0,0,0, 1800,  150, 1650,  66920
 2566,10,  72000, 9,1,2,      0,99,9,9,0,0,0,    0,    0,    0, 110806
 2762,10,  98000, 5,1,3,   7200, 4,2,3,2,1,0,  400,  200,    0, 167740
 2582,10,  45000, 2,2,7, 110000, 2,1,8,0,0,0,    0,    0,    0,  96494
 1110,10,  35000, 3,2,7,  50000, 3,1,7,1,0,0,    0,    0,    0,  55567
  442,10,  31000, 3,2,6,      0,99,9,9,1,0,0,   20,   20,    0,  43298
 6338, 0, 110000, 4,1,8,  29000, 3,2,7,1,1,0, 1350,   50,    0, 194681
 1377,10,  74000, 3,2,7,  79000, 3,1,7,1,0,0,    0,    0,    0, 135234
 2583,10,  75000, 3,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  86820
 1408,10,      0, 9,2,2,      0,99,9,9,0,0,0,  170,    0,  170,  38953
 1137, 0,  46000, 1,1,5,      0,99,9,9,0,0,1,    0,    0,    0,  68449
 1438,10,  50000, 8,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  51487
 3799,10,  36000, 2,2,7,  60000, 2,1,7,0,0,0,    0,    0,    0, 127746
 1832,10,      0,13,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  15458
  464,10,      0, 9,2,6, 100000, 9,1,2,0,0,0,    0,    0,    0,  70569
 3729,10,  37000, 2,2,6,      0,99,9,9,0,0,0,  400,    0,  400,  34738
 1833,10,      0, 9,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  18057
 2284,10,  75000, 8,1,3,      0,99,9,9,0,0,1, 3625,  700, 2500,  73467
 1920,10,      0,11,1,2,      0,10,2,6,0,0,0,    0,    0,    0,  78684
 2173,10,  76000, 5,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  63307
 3758,10,  74000, 3,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  60052
 3404,10,  86000, 7,1,3,  60000, 6,2,3,0,1,1, 5690,  620, 3000, 113831
 2531,10,  16000, 4,1,3,  29000, 4,2,5,0,0,0,  150,  150,    0,  51939
 2731,10,  45000, 8,1,5,  18000, 8,2,3,0,0,0, 1500,  300, 1200,  76388
 2218,10,  76000, 6,1,7,  60000, 6,2,7,0,2,0,  750,  750,    0, 115431
 1834,10,      0,14,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  42344
 3759,10,  66000, 3,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  89450
 1561,10,      0,10,1,6,   4000, 9,2,2,0,0,0,    0,    0,    0,  55322
 1835,10,      0,11,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  47358
 2723,10,  42000, 7,2,6,  99000, 7,1,6,0,1,1, 1255,  110,  350, 100677
 1983,10,      0, 7,1,3,      0,99,9,9,0,0,0,    0,    0,    0,  14915
 2032,10,  11000, 8,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  16816
 1371,10,   2500, 1,1,2,      0,99,9,9,0,0,1, 1100,  400,  700,   7990
 3027,10,      0, 1,2,2,  40000, 1,1,2,1,0,2,    0,    0,    0,  67323
 1921,10,      0,12,2,2,      0,13,1,2,0,0,0,    0,    0,    0,  31948
 4042,10, 100000, 8,1,8,  45000, 6,2,6,0,0,2, 9350, 2350, 7000, 120415
 1409,10,      0, 9,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  14364
 1410,10,      0, 8,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  14697
 2532,10,  38000, 2,1,7,      0,99,9,9,0,0,1,    0,    0,    0,  51857
 1781,10,  17000, 9,1,2,      0, 9,2,2,0,0,0,    0,    0,    0,  35796
 3633,10,  22000, 6,2,2,  36000, 7,1,2,0,1,1,    0,    0,    0,  69348
  447,10,      0, 1,2,2,      0,99,9,9,1,0,1,10400,  530, 9870,  32054
 1895,10,  15000, 8,2,3,  40000, 8,1,2,0,0,0,    0,    0,    0,  51214
 1836,10,      0,10,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  16218
 1411,10,  64000, 2,1,7,      0, 2,2,2,1,0,0,    0,    0,    0,  89403
 1396,10,  11000, 9,1,8,   1500, 9,2,8,0,0,0,  440,   40,  400, 109547
 1837,10,      0,10,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  15983
 1838,10,      0,12,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  14648
 1782,10,  24000, 1,2,2,      0,99,9,9,0,0,2,    0,    0,    0,  49632
 1839,10,      0,14,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  26503
  552,10,      0, 2,2,3,      0,99,9,9,1,0,0,    0,    0,    0,  28927
 1840,10,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  16872
 1841,10,      0,14,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  13962
 1339,10,      0, 3,2,1,      0,99,9,9,0,3,0,    0,    0,    0,  28711
  274,10,  20000, 4,2,3,      0,99,9,9,0,1,0,    0,    0,    0,  36401
 1984,10,  60000, 6,2,6,  50000, 7,1,3,0,0,0,    0,    0,    0,  69577
 1922,10,      0,11,1,3,      0,11,2,2,0,0,0,    0,    0,    0,  29675
 2429,10,  45000, 5,1,7, 100000, 5,2,8,0,2,0,  800,  400,    0, 125561
 1285,10,  29000, 4,2,3,  25000, 3,1,3,0,1,0,  200,  200,    0,  85775
    5,10,      0, 3,2,1,      0,99,9,9,0,2,0,    0,    0,    0,  20689
 3677,10,  38000, 5,1,2,  45000, 4,2,3,0,1,1, 1200,  195,  225,  90667
 1622,10,   1800, 1,2,2,  45000, 1,1,8,0,0,2,  510,  210,    0,  80315
 2739,10,  40000, 7,2,3,  40000, 7,1,2,0,0,0,    0,    0,    0, 109665
 4231,10,      0,10,2,1,      0,99,9,9,0,1,0,    0,    0,    0,  54240
   53,10,    900, 4,2,3,      0,99,9,9,0,1,0,    0,    0,    0,  21149
 1923,10,      0,11,1,2,      0,11,2,2,0,0,0,    0,    0,    0,  29358
 2251,10,  10000, 4,2,3,  30000, 4,1,2,0,0,0,    0,    0,    0,  43815
 2507,10,  35000, 5,1,3,  14000, 4,2,5,0,2,0,   50,   50,    0,  42835
 1340,10,      0, 4,2,2,      0,99,9,9,0,2,0,   80,   80,    0,  23801
 2345,10,      0, 9,1,1,      0,99,9,9,0,2,0,  350,  350,    0,  32368
 2174,10,  60000, 5,1,7,      0,99,9,9,0,0,0,  700,  120,  580,  58232
 3556,10,      0, 5,2,3,  35000, 6,1,3,0,1,1,11000, 1000,10000,  52138
  743,10,    800, 6,1,2,      0,99,9,9,0,1,1,    0,    0,    0,  19145
 1842,10,      0,11,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  25690
 1924,10,      0,12,1,1,      0,13,2,2,0,0,0,    0,    0,    0,  34267
 5173,10,  27000, 5,2,3,  29000, 5,1,2,0,1,2, 4300,  800, 3500,  76163
 1341,10,  30000, 2,1,5,  11000, 2,2,5,1,0,0,  690,  190,  500,  48438
 4000,10,  40000, 2,2,7,      0,99,9,9,0,0,0,  400,    0,    0,  56630
 2036,10,  58000, 7,1,5,      0, 7,2,2,0,0,0,   40,   40,    0,  60738
 2584,10,      0, 2,1,2,      0,99,9,9,0,0,1,    0,    0,    0,  54240
 3760,10,  11000, 2,2,2,      0, 2,1,1,0,0,0,    0,    0,    0,  24907
 4001,10,  46000, 3,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  56720
 1843,10,      0,12,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  25855
  863,10,  44000, 6,1,5,      0, 6,2,2,0,1,0, 2080,  280,    0,  61766
 1378,10,   4900, 3,2,3,      0,99,9,9,0,2,0,    0,    0,    0,  21237
 3741,10,      0, 2,2,7,      0,99,9,9,0,0,0, 2850,  750, 2100,  26561
  779,10,      0,10,1,1,      0,99,9,9,0,1,0,  100,  100,    0,  45706
 1604,10,   6000,11,2,6,      0,99,9,9,0,0,0,    0,    0,    0,  26363
 5247,10,  42000, 7,1,2,   8500, 7,2,5,0,0,0,    0,    0,    0,  81803
 2747,10,  15000, 4,1,5,      0,99,9,9,0,0,0,    0,    0,    0,  38263
 3253,10,  60000, 5,1,8,   7600, 4,2,8,2,0,0,    0,    0,    0,  68135
 1160,10,      0, 4,2,7,   5000, 3,1,6,1,0,0, 5210,  230, 4800,  47380
 1844,10,      0,12,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  38148
 1474,10,  54000, 9,1,3,      0, 9,2,2,0,0,0,    0,    0,    0,  65553
 2045,10,  50000, 8,1,3,  21000, 7,2,2,0,0,0,    0,    0,    0,  58102
  553,10,      0, 3,2,2,      0,99,9,9,1,0,0,    0,    0,    0,  13992
 1342,10,      0, 5,2,3,      0,99,9,9,0,2,0,    0,    0,    0,  14516
 3646,10,  50000, 6,2,3,  32000, 7,1,2,0,1,1,    0,    0,    0, 129809
 1700,10,      0, 8,1,6,  70000, 7,2,5,0,0,0,    0,    0,    0,  53133
  911,10,  40000, 5,1,4,  36000, 5,2,3,0,1,0,  820,    0,    0,  93124
 1845,10,      0,13,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  18026
 1605,10,   4000, 8,1,3,  59000, 7,2,3,0,0,0,    0,    0,    0, 102367
 3800,10,  65000, 2,1,7,  31000, 2,2,7,0,0,0,   50,    0,   50,  89804
 2457,10,  25000, 6,2,5,  43000, 6,1,5,0,0,0,    0,    0,    0,  57472
 1562,10, 190000, 4,1,7,      0, 4,2,5,0,2,0,    0,    0,    0, 133269
 2293,10,  96000, 5,1,5,  30000, 6,2,2,0,2,0,    0,    0,    0, 142352
 2067,10,      0, 9,2,1,      0, 7,1,0,0,0,0,    0,    0,    0,  17126
 3780,10,  59000, 5,1,1,  29000, 4,2,2,0,1,1, 1663,  400, 1263,  86945
 1606,10,  27000,10,1,3,      0,99,9,9,0,0,0,   65,    0,    0,  49590
 1518,10,  25000, 3,1,2,   6700, 3,2,3,1,0,0,    0,    0,    0,  44010
 2763,10,  13000, 1,2,4,   9600, 3,1,3,0,0,1,    0,    0,    0,  31410
 1412,10,      0, 9,2,1,      0,99,9,9,0,0,0,    0,    0,    0,   9219
 1413,10,      0, 9,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  14997
 1157,10,  35000, 6,1,2,      0, 3,2,1,0,1,0,   20,   20,    0,  55945
 2023,10,      0, 9,2,3,  24000,10,1,3,0,0,0,    0,    0,    0,  35524
 2294,10,      0,10,1,2,  20000, 6,2,2,0,0,0,    0,    0,    0,  36553
 3386,10,  10000, 6,2,2,  90000, 7,1,7,0,1,1, 2200,  600, 1600,  95656
  448,10,      0, 9,2,2,      0, 9,1,2,0,1,0,  700,    0,    0,  29950
 1682,10, 100000, 7,1,1,      0, 5,2,1,0,2,0,  300,  300,    0, 103740
 1545,10,  35000, 6,2,2,  28000, 8,1,2,0,0,0,    0,    0,    0,  75934
 1677,10,      0, 9,2,2,      0,10,1,2,0,0,0,    0,    0,    0,  45758
 1584, 0,      0, 8,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  24550
 2449,10,  45000, 5,1,2,      0,99,9,9,0,0,0,    0,    0,    0,  37686
 3478,10,  39000, 3,1,3,  18000, 4,2,3,0,0,0,    0,    0,    0,  62128
 2489,10,      0, 7,2,3,  27000, 9,1,1,0,0,0,    0,    0,    0, 129121
   54,10,      0, 4,2,3,      0,99,9,9,0,1,0,   20,   20,    0,  13459
 2551,10,  50000, 5,1,3,  38000, 3,2,3,2,0,0,    0,    0,    0,  89716
 1397,10,      0, 9,1,1,  37000, 8,2,1,0,0,0,    0,    0,    0,  75205
 1414,10,      0, 8,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  12696
 1343,10,      0, 4,2,2,      0,99,9,9,0,2,0,  555,  100,    0,  26469
 1925,10,  50000, 6,2,6,      0,99,9,9,0,0,0,    0,    0,    0,  44650
 4912,10,      0, 8,2,3,      0,99,9,9,0,0,2, 8600,  600, 8000, 137669
 6339, 0,  85000, 7,1,5,  60000, 7,2,6,0,0,2, 1800,  500, 1300, 150406
 2354,10,      0, 9,1,8,      0, 9,2,2,0,0,0,  300,    0,    0,  61554
 1585, 0,   2000, 1,1,2,      0,99,9,9,0,0,1,    0,    0,    0,  13042
 1846,10,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  11151
 1701,10,      0, 6,2,3,      0,99,9,9,0,0,1, 3420,  420, 3000,  25131
 2513,10,  49000, 4,1,2,  46000, 4,2,2,0,0,0, 1300,    0, 1200,  91174
  868,10,  23000, 5,2,5,      0,99,9,9,0,1,1,  100,  100,    0,  65630
  275,10,  17000, 4,1,1,      0,99,9,9,0,1,0,    0,    0,    0,  39147
 4639,10,      0, 7,2,2,  50000, 8,1,2,0,0,2, 5450,  450, 5000, 106315
 1847,10,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  14007
 1783,10,      0, 9,1,2,  15000, 8,2,2,0,0,0,    0,    0,    0,  31726
 1027,10,  75000, 6,1,5,  14000, 5,2,5,0,1,0,    0,    0,    0,  84312
 2219,10,  69000, 4,1,3,   4400, 4,2,3,1,1,0,    0,    0,    0,  66029
 1097,10,  37000, 4,1,3,  32000, 3,2,5,1,0,0,    0,    0,    0,  77258
 6017, 0, 150000, 4,1,4,  30000, 4,2,7,1,0,0,  410,    0,    0, 210834
 1169,10,  95000, 4,1,3,  39000, 3,2,3,1,0,0,    0,    0,    0,  85225
 2651,10,  45000, 2,1,3,  30000, 1,2,3,0,0,1,    0,    0,    0,  58296
 2514,10,  23000, 4,2,7,  75000, 4,1,3,0,2,0,    0,    0,    0, 111617
 2033,10,  15000, 9,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  55172
 3699,10,   7200, 4,1,3,  32000, 3,2,2,1,2,0, 1025, 1025,    0,  63421
 2620,10,  25000, 6,1,2,  38000, 3,2,7,1,1,0,  650,  150,    0,  78375
  625,10,   3700, 8,1,2,   1800, 7,2,1,0,1,0,  110,  110,    0,  62917
 1286,10,   7200, 8,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  28149
 3028,10,  16000, 2,2,3,  18000, 2,1,3,1,1,0,  100,    0,    0,  83553
 1379,10,      0, 1,2,1,      0,99,9,9,1,1,1,    0,    0,    0,  27458
 1848,10,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  21031
 1985,10,      0, 6,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  12619
 1586, 0,   7400, 5,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  12416
 2346,10,  41000, 4,1,3,   7000, 5,2,3,0,2,0, 1150,  100,  700,  85595
 2004,10,  32000, 7,1,3,      0, 7,2,1,0,0,0,    0,    0,    0,  46715
 4508,10,  28000, 5,1,7,  52000, 4,2,7,1,1,0,  370,  150,   90,  87734
 1926,10,      0,12,1,1,      0,11,2,1,0,0,0,    0,    0,    0,  37870
 1344,10,  90000, 5,1,7,      0,99,9,9,0,2,0,    0,    0,    0,  90057
  772,10,  45000, 6,2,7,  68000, 5,1,5,0,1,0,    0,    0,    0, 104217
 1986,10,  45000, 6,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  57763
  465,10, 120000, 8,1,6,      0, 8,2,2,0,0,0,    0,    0,    0, 114668
 1927,10,      0,11,1,2,      0,10,2,8,0,0,0,    0,    0,    0,  76666
 2804,10, 170000, 6,1,3,  13000, 6,2,5,1,0,1, 2900,  700, 2000, 166875
 1186,10,   6000, 7,1,3, 140000, 7,2,7,0,0,1,10000,    0,10000, 132119
  955,10,  19000, 5,2,3,      0,99,9,9,0,1,1,  450,  100,    0,  27640
 1887,10,      0,14,2,1,      0,14,1,2,0,0,0,    0,    0,    0,  38059
 3061,10,  20000, 2,2,5,  44000, 2,1,3,1,1,0, 1100,  100,    0,  87623
 5797, 0,  28000, 6,2,2,  29000, 6,2,5,0,0,0,    0,    0,    0,  50278
 1724,10,  37000, 8,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  86172
 7092, 0,  85000, 7,2,3,  85000, 7,1,6,0,0,0, 1600,    0, 1600, 118245
 1928,10,      0,12,2,2,      0,13,1,1,0,0,0,    0,    0,    0,  68613
 1725,10,  76000, 8,1,3,  19000, 8,2,2,0,0,0,    0,    0,    0, 127815
  780,10,   8000, 8,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  64959
  976,10,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  25795
 1029,10,      0, 7,1,3,  13000, 8,2,5,0,0,1, 4000, 1000, 3000,  91090
 1131,10,  60000, 5,2,3,  45000, 5,1,3,0,2,0,    0,    0,    0,  96517
  664,10, 100000, 5,1,8, 120000, 5,2,8,0,2,0,  900,    0,    0, 172462
 1073,10,  45000, 6,2,3,  80000, 7,1,7,0,0,0,    0,    0,    0, 128036
 1114,10,  34000, 6,1,1,  19000, 6,2,2,0,0,0,    0,    0,    0,  65834
 1132,10,  92000, 4,1,7,  13000, 5,2,6,0,2,0,  992,  200,    0, 119537
 1138, 0,  65000, 8,1,2,      0,99,9,9,0,0,0,    0,    0,    0, 195130
  136,10,  55000, 6,1,5,  75000, 6,2,8,0,1,0,    0,    0,    0, 130822
 1623,10,      0, 2,1,5,      0,99,9,9,0,0,0,37400, 3000,34400,  63098
 1103,10,  88000, 6,1,5,  29000, 6,2,5,0,2,0, 3800,  100,    0, 124200
 1104,10,  90000, 6,1,7,  60000, 4,2,7,0,2,0,    0,    0,    0, 158524
 1147,10,  35000, 5,2,5,      0,99,9,9,0,2,0,  900,  200,    0,  57815
 1117,10,  72000, 6,1,6,  64000, 5,2,6,0,2,0, 1500,  500,    0, 120982
 2206,10,  85000, 7,1,7,  55000, 7,2,1,0,0,2, 6400, 1400, 5000, 127571
 1587,10,  80000, 3,1,8,      0,99,9,9,0,0,0,    0,    0,    0,  99309
 1964,10, 100000, 7,1,3,  50000, 7,2,3,0,0,2,    0,    0,    0, 142321
 1861,10, 100000, 7,1,8,      0, 7,2,8,0,0,2, 8100, 2100, 6000, 101513
 5840, 0, 300000, 8,1,8,      0, 8,2,7,0,0,2,11300, 2900, 8400, 304904
  876,10,      0, 9,2,7,      0,12,1,7,0,0,0,    0,    0,    0,  49951
    6,10, 310000, 5,1,8,      0, 5,2,7,0,1,0,  200,  200,    0, 239731
  977,10,      0,10,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  17092
 1187,10,      0,10,1,8,  44000, 9,2,8,0,0,0,    0,    0,    0,  94290
  781,10,  50000, 8,2,6,      0,99,9,9,0,0,0,    0,    0,    0,  44230
 5841, 0, 290000, 6,2,8,  85000, 5,1,5,0,3,0, 9450,  250, 6500, 279974
  773,10,      0, 9,2,6,  28000, 9,1,8,0,0,0,    0,    0,    0,  74036
  654,10, 120000, 8,1,6,  85000, 7,2,6,0,0,1,    0,    0,    0, 209229
  877,10,      0, 9,2,7,      0,13,1,2,0,0,0,    0,    0,    0, 139302
  978,10,      0,10,2,7,      0,99,9,9,0,0,0,    0,    0,    0,  63370
  956,10,  15000, 1,2,7,      0,99,9,9,0,0,2,  400,  400,    0,  39275
 1311,10,  58000, 3,1,7,  31000, 3,2,0,1,1,0,   80,   80,    0,  74223
  979,10,  40000, 8,1,3,  80000, 7,2,6,0,0,0,    0,    0,    0, 140002
   66,10, 230000, 9,1,8,   1000, 9,2,8,0,0,0,12400, 1000,10000, 281783
  409,10, 180000, 8,1,8, 110000, 8,2,7,0,0,1,23900, 1900,22000, 215710
  980,10,      0,11,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  29816
 1297,10, 100000, 5,1,7,  30000, 5,2,2,0,1,1, 4000,  700, 3300, 105381
 1205,10,   4200,10,1,6,  49000,10,2,6,0,0,0,    0,    0,    0, 104483
  782,10,      0, 9,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  64459
 1074,10,  52000, 6,1,6,  45000, 6,2,6,0,0,0,    0,    0,    0,  73006
 1475,10,  37000, 4,2,5,  41000, 5,1,2,0,3,0,   75,   75,    0,  42563
 1466,10,  50000, 5,2,7,  70000, 5,1,8,0,3,0,  950,  100,    0, 116410
 1087,10,  63000, 4,1,5,      0,99,9,9,0,0,0,    0,    0,    0,  98615
 1105,10,      0, 5,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  12610
  841,10,   6600, 1,2,1,      0,99,9,9,1,0,1,    0,    0,    0,  22511
 1929,10,  40000, 2,1,7,  20000, 2,2,6,0,0,0,    0,    0,    0,  95258
  878,10,      0,10,1,8,      0, 9,2,6,0,0,0,    0,    0,    0,  86110
 1615,10,  28000, 1,2,6,  30000, 2,1,7,0,0,1,  350,   50,  300,  48191
 1022,10,   3000,11,1,6,      0,10,2,2,0,0,0,    0,    0,    0,  80698
 4332,10,  90000, 6,1,7,  30000, 6,2,3,0,2,1,    0,    0,    0,  90642
 1930,10,      0,10,1,6,      0,10,2,6,0,0,0,    0,    0,    0,  49984
